time,id,score,status,classification,xpos,ypos,age,est_velocity,est_heading,tlx,tly,brx,bry
10.00000,2,55,1,1,0.32903,-8.62737,10.00000,0.15305,-0.42133,-2.91827,-13.66598,3.57632,-3.58875
10.00000,3,55,1,1,-6.24653,3.08385,10.00000,0.24952,-0.47117,-7.89081,1.71545,-4.60225,4.45225
10.00000,4,55,1,1,-5.31443,19.11566,10.00000,0.05574,0.19135,-5.87502,17.77326,-4.75384,20.45807
10.00000,5,55,1,1,-12.69204,-8.69964,10.00000,0.08574,0.18443,-14.56262,-10.39834,-10.82145,-7.00095
11.00000,0,60,1,1,-9.96197,-2.82626,11.00000,0.03558,0.53936,-16.78731,-6.68191,-3.13664,1.02939
11.00000,1,60,1,1,-1.75328,9.38829,11.00000,0.09176,0.43442,-3.70069,4.03227,0.19413,14.74432
11.00000,2,60,1,1,0.33066,-8.51979,11.00000,0.15947,0.03995,-2.86080,-13.69469,3.52212,-3.34489
11.00000,3,60,1,1,-6.03333,3.29806,11.00000,0.25516,-0.47330,-7.48261,1.72714,-4.58404,4.86898
11.00000,4,60,1,1,-5.36157,19.08980,11.00000,0.05087,0.16165,-5.90966,17.77326,-4.81348,20.40634
11.00000,5,60,1,1,-12.85443,-8.84352,11.00000,0.09092,-0.30841,-14.85066,-10.65222,-10.85820,-7.03483
12.00000,0,65,1,1,-10.00431,-2.83754,12.00000,0.03578,0.02452,-16.88308,-6.69520,-3.12553,1.02012
12.00000,1,65,1,1,-1.73142,9.31541,12.00000,0.09185,0.47828,-3.68452,3.97557,0.22167,14.65526
12.00000,2,65,1,1,0.37522,-8.77143,12.00000,0.17760,-0.09960,-2.89029,-14.15059,3.64073,-3.39226
12.00000,3,65,1,1,-6.02408,3.34249,12.00000,0.19147,-0.14520,-7.53701,1.79320,-4.51115,4.89177
12.00000,4,65,1,1,-5.34419,19.12326,12.00000,0.04537,0.17952,-5.90966,17.78845,-4.77873,20.45807
12.00000,5,65,1,1,-12.91219,-8.85821,12.00000,0.09461,-0.59931,-14.93050,-10.56100,-10.89388,-7.15541
